sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
1,61000.26113,19.111,61000.26113,61053.15171,43.42423,96.31480,157.99624,-0.40731,444.49
64,61054.31191,22.121,61054.31191,61054.31243,99.60996,99.61047,228.49860,-0.40859,638.37
84,61063.21610,20.343,61063.21610,61090.16373,51.19973,78.14736,8.17635,-0.37462,32.48
96,61921.32545,20.742,61921.32545,61921.32647,61.89930,61.90032,130.25254,0.09845,368.19
105,61762.07799,19.841,61762.07799,61762.07850,8.05355,8.05405,258.08047,0.04056,719.72
122,61231.30603,13.968,61231.30603,61290.01557,17.67903,76.38857,30.39996,-0.25834,93.60
126,61233.19520,22.509,61233.19520,61266.15833,46.37461,79.33774,118.75004,-0.27356,336.56
137,61853.27484,21.451,61853.27484,61857.29706,81.67745,85.69967,173.62924,0.05020,487.48
169,61209.99442,19.975,61209.99442,61230.99505,17.00720,38.00784,343.04378,-0.27005,953.37
186,62186.26635,18.004,62186.26635,62243.00115,28.59784,85.33265,134.51678,0.26475,379.92
201,61649.00316,21.130,61649.00316,61652.06233,51.12922,54.18839,349.85751,-0.04500,972.11
226,61410.26263,16.284,61410.26263,61441.20324,53.09865,84.03926,8.94942,-0.17778,34.61
248,61771.30721,21.590,61771.30721,61803.33901,37.89548,69.92728,134.70626,0.02926,380.44
256,61206.16359,21.233,61206.16359,61206.32288,81.00086,81.16015,293.96475,-0.30882,818.40
265,61115.26144,21.436,61115.26144,61142.20283,12.38619,39.32758,59.59142,-0.32166,173.88
269,61028.27937,20.510,61028.27937,61033.22828,91.76150,96.71041,7.61329,-0.41947,30.94
287,61410.24872,22.670,61410.24872,61410.26467,20.93488,20.95082,134.50109,-0.15992,379.88
294,61053.30969,20.184,61053.30969,61113.13631,10.98338,70.81000,303.68698,-0.35684,845.14
60,62183.17912,17.988,62183.17912,62201.04612,5.15226,23.01926,240.62507,0.27632,671.72
65,62034.05538,20.680,62034.05538,62037.98935,69.21453,73.14849,199.28858,0.15667,558.04
70,61713.31260,16.985,61713.31260,61796.11786,2.81675,85.62201,77.25048,0.01671,222.44
86,61415.20310,23.036,61415.20310,61472.16282,33.12453,90.08426,260.04937,-0.16393,725.14
124,62128.28719,15.982,62128.28719,62128.28808,80.11886,80.11975,14.98110,0.20307,51.20
150,61491.01107,20.841,61491.01107,61495.00999,52.78384,56.78276,297.46509,-0.13283,828.03
170,61857.33470,24.712,61862.33294,61862.35354,38.01828,38.03888,104.73042,0.07914,298.01
171,61109.15519,22.958,61109.15519,61121.33395,18.95057,31.12933,185.42057,-0.32899,519.91
178,62049.09731,20.175,62049.09731,62049.12422,51.00780,51.03471,321.00382,0.17514,892.76
181,61691.19294,19.555,61691.19294,61730.11220,15.51222,54.43149,321.64079,-0.00237,894.51
200,62177.32606,22.225,62177.32606,62190.29209,57.90006,70.86609,279.86574,0.24310,779.63
210,61509.33296,20.633,61509.33296,61558.31437,48.06911,97.05053,249.93448,-0.12011,697.32
266,62482.26798,16.741,62482.26798,62562.13458,7.66745,87.53405,102.49923,0.45035,291.87
270,61355.21242,19.940,61355.21242,61406.16602,11.31636,62.26995,19.94235,-0.18517,64.84
276,61322.31896,23.716,61322.31896,61332.30885,35.27940,45.26929,114.47679,-0.21696,324.81
296,61833.03150,21.143,61833.03150,61836.02593,45.17345,48.16789,352.64545,0.05912,979.77
347,61109.34317,22.753,61109.34317,61138.06401,38.71639,67.43723,91.21801,-0.34034,260.85
7,60981.31024,22.894,60981.31024,60990.28689,90.26054,99.23718,282.98315,-0.44691,788.20
58,61558.41273,17.321,61558.41273,61594.35575,29.70783,65.65085,50.32692,-0.08297,148.40
71,61382.33305,19.976,61382.33305,61423.28159,52.70349,93.65203,147.07031,-0.19313,414.44
80,61359.09069,19.581,61359.09069,61359.09114,1.06911,1.06956,239.15287,-0.17731,667.67
81,61359.28654,23.578,61359.28654,61359.29163,12.31941,12.32449,146.29927,-0.18346,412.32
94,61016.19696,19.057,61016.19696,61066.18731,7.19909,57.18944,108.54435,-0.37640,308.50
133,61273.20691,18.658,61273.20691,61294.16218,2.69688,23.65215,124.87313,-0.22624,353.40
